\(tutorial\): 1;{{P|Basic Zombie|2}}
\(iceage_weasel\): 68;{{Ice Weasel|2}}
\(hellbird\): 69{{Zombie Nether Dodo|2}}
\(cowboy\): 70;{{P|Cowboy Zombie|2}}
\(cowboy_armor1\): 71.{{P|Conehead Cowboy|2}}
\(cowboy_armor2\): 72;{{P|Buckethead Cowboy|2}}
\(cowboy_armor4\): 73;{{P|Cart-Head Zombie|2}}
\(cowboy_gargantuar\): 74;{{P|Wild West Gargantuar|2}}
\(west_bullrider\): 75;{{P|Zombie Bull Rider|2}}
\(prospector\): 76;{{P|Prospector Zombie|2}}
\(piano\): 77;{{P|Pianist Zombie|2}}
\(west_bull\): 78;{{P|Zombie Bull|2}}
\(chicken_farmer\): 79;{{P|Chicken Wrangler Zombie|2}}
\(poncho\): 80;{{P|Vegan Zombie|2}}
\(poncho_no_plate\)|\(poncho_plate\): 81;{{P|Poncho Zombie|2}}
\(modern_balloon\)|\(tutorial_balloon\): 95;{{P|Balloon Zombie|2}}
\(dino\): 96;{{P|Jurassic Zombie|2}}
\(dino_armor1\): 97;{{P|Jurassic Conehead|2}}
\(dino_armor2\): 98;{{P|Jurassic Buckethead|2}}
\(dino_armor3\): 99;{{P|Jurassic Fossilhead|2}}
\(dino_armor4\): 100;{{P|Amberhead Zombie|2}}
\(dino_gargantuar\): 101;{{P|Jurassic Gargantuar|2}}
\(dino_imp\): 102;{{P|Jurassic Imp|2}}
\(dino_bully\)|\(dino_bully_veteran\): 103;{{P|Jurassic Bully|2}}
\(rascal_imp\): 104;{{P|Rapscallion Imp|2}}
\(modern_superfanimp\): 104;{{P|Flint imp|2}}
raptor\d*: 104.5;{{P|Raptor|2}}
stego\d*: 104.5;{{P|Stegosaurus|2}}
ptero\d*: 104.5;{{P|Pterodactyl|2}}
tyranno\d*: 104.5;{{P|Tyrannosaurus Rex|2}}
ankylo\d*: 104.5;{{P|Ankylosaurus|2}}
\(future\): 105;{{Future Zombie|2}}
\(future_armor1\): 106;{{Future Conehead Zombie|2}}
\(future_armor2\): 107;{{Future Buckethead Zombie|2}}
\(future_gargantuar\): 108;{{Gargantuar Prime|2}}
\(future_imp\): 109;{{Bug Bot Imp|2}}
\(future_protector\): 110;{{Shield Zombie|2}}
\(future_jetpack\): 111;{{Jetpack Zombie|2}}
\(mech_cone\): 112{{Robo-Cone Zombie|2}}
\(disco_mech\): 113;{{Disco-tron 3000|2}}
\(future_jetpack_disco\): 114;{{Disco Jetpack Zombie|2}}
\(football_mech\): 115;{{Mecha-Football Zombie|2}}
\(modern_newspaper\)|\(newspaper_veteran\): 131;{{P|Newspaper Zombie|2}}
\(mega_gargantuar\)|\(gargantuar_mega\): 132;{{P|Mega Gargantuar|2}}
\(conehead_imp\): 133;{{P|Conehead Imp|2}}
\(eighties\): 116;{{P|Neon Zombie|2}}
\(eighties_armor1\): 117;{{P|Neon Conehead|2}}
\(eighties_armor2\): 118;{{P|Neon Buckethead|2}}
\(eighties_gargantuar\): 119;{{P|Hair Metal Gargantuar|2}}
\(eighties_imp\): 120;{{P|Impunk|2}}
\(eighties_glitter\): 121;{{P|Glitter Zombie|2}}
\(eighties_punk\): 122;{{P|Punk Zombie|2}}
\(eighties_boombox\): 123;{{P|Boombox Zombie|2}}
\(eighties_mc\): 124;{{P|MC Zom-B|2}}
\(eighties_arcade\): 125;{{P|Arcade Zombie|2}}
\(eighties_8bit\): 126;{{P|8-Bit Zombie|2}}
\(eighties_8bit_armor1\): 127;{{P|8-Bit Conehead Zombie|2}}
\(eighties_8bit_armor2\): 128;{{P|8-Bit Buckethead Zombie|2}}
\(eighties_breakdancer\): 129;{{P|Breakdancer Zombie|2}}
